序号,子集,掉落种类,物品id,说明,最小数量,最大数量,权重,备注
9466,56000006,戒指,51203,15-17阶蓝,1,1,53,
9467,56000006,手腕,51204,15-17阶蓝,1,1,53,
9468,56000006,手腕,51205,15-17阶蓝,1,1,53,
9469,56000006,头盔,51206,15-17阶蓝,1,1,13,
9470,56000006,头盔,51207,15-17阶蓝,1,1,13,
9471,56000006,头盔,51208,15-17阶蓝,1,1,13,
9472,56000006,头盔,51209,15-17阶蓝,1,1,13,
9473,56000006,头盔,51210,15-17阶蓝,1,1,13,
9474,56000006,头盔,51211,15-17阶蓝,1,1,13,
9475,56000006,头盔,51212,15-17阶蓝,1,1,13,
9476,56000006,头盔,51213,15-17阶蓝,1,1,13,
9477,56000006,项链,51214,15-17阶蓝,1,1,26,
9478,56000006,项链,51215,15-17阶蓝,1,1,26,
9479,56000006,项链,51216,15-17阶蓝,1,1,26,
9480,56000006,项链,51217,15-17阶蓝,1,1,26,
9481,56000006,鞋子,51218,15-17阶蓝,1,1,70,
9482,56000006,鞋子,51219,15-17阶蓝,1,1,70,
9483,56000006,胸甲,51220,15-17阶蓝,1,1,35,
9484,56000006,胸甲,51221,15-17阶蓝,1,1,35,
9485,56000006,胸甲,51222,15-17阶蓝,1,1,35,
9486,56000006,胸甲,51223,15-17阶蓝,1,1,35,
9487,56000006,锤子,51224,15-17阶蓝,1,1,8,
9488,56000006,锤子,51225,15-17阶蓝,1,1,8,
9489,56000006,锤子,51226,15-17阶蓝,1,1,8,
9490,56000006,锤子,51227,15-17阶蓝,1,1,8,
9491,56000006,大剑,51228,15-17阶蓝,1,1,8,
9492,56000006,大剑,51229,15-17阶蓝,1,1,8,
9493,56000006,大剑,51230,15-17阶蓝,1,1,8,
9494,56000006,大剑,51231,15-17阶蓝,1,1,8,
9495,56000006,斧子,51232,15-17阶蓝,1,1,8,
9496,56000006,斧子,51233,15-17阶蓝,1,1,8,
9497,56000006,斧子,51234,15-17阶蓝,1,1,8,
9498,56000006,斧子,51235,15-17阶蓝,1,1,8,
9499,56000006,法杖,51236,15-17阶蓝,1,1,8,
9500,56000006,法杖,51237,15-17阶蓝,1,1,8,
9501,56000006,法杖,51238,15-17阶蓝,1,1,8,
9502,56000006,法杖,51239,15-17阶蓝,1,1,8,
9503,56000006,短剑,51240,15-17阶蓝,1,1,8,
9504,56000006,短剑,51241,15-17阶蓝,1,1,8,
9505,56000006,短剑,51242,15-17阶蓝,1,1,8,
9506,56000006,短剑,51243,15-17阶蓝,1,1,8,
9507,56000006,火把,51244,15-17阶蓝,1,1,26,
9508,56000006,火把,51245,15-17阶蓝,1,1,26,
9509,56000006,火把,51246,15-17阶蓝,1,1,26,
9510,56000006,火把,51247,15-17阶蓝,1,1,26,
9511,56000006,火把,51248,15-17阶蓝,1,1,26,
9512,56000006,火把,51249,15-17阶蓝,1,1,26,
9513,56000006,肩甲,51250,15-17阶蓝,1,1,26,
9514,56000006,肩甲,51251,15-17阶蓝,1,1,26,
9515,56000006,肩甲,51252,15-17阶蓝,1,1,26,
9516,56000006,肩甲,51253,15-17阶蓝,1,1,26,
9517,56000006,肩甲,51254,15-17阶蓝,1,1,26,
9518,56000006,肩甲,51255,15-17阶蓝,1,1,26,
9519,56000006,戒指,51256,15-17阶蓝,1,1,53,
9520,56000006,戒指,51257,15-17阶蓝,1,1,53,
9521,56000006,戒指,51258,15-17阶蓝,1,1,53,
9522,56000006,手腕,51259,15-17阶蓝,1,1,53,
9523,56000006,手腕,51260,15-17阶蓝,1,1,53,
9524,56000006,手腕,51261,15-17阶蓝,1,1,53,
9525,56000006,头盔,51262,15-17阶蓝,1,1,13,
9526,56000006,头盔,51263,15-17阶蓝,1,1,13,
9527,56000006,头盔,51264,15-17阶蓝,1,1,13,
9528,56000006,头盔,51265,15-17阶蓝,1,1,13,
9529,56000006,头盔,51266,15-17阶蓝,1,1,13,
9530,56000006,头盔,51267,15-17阶蓝,1,1,13,
9531,56000006,头盔,51268,15-17阶蓝,1,1,13,
9532,56000006,头盔,51269,15-17阶蓝,1,1,13,
9533,56000006,头盔,51270,15-17阶蓝,1,1,13,
9534,56000006,头盔,51271,15-17阶蓝,1,1,13,
9535,56000006,头盔,51272,15-17阶蓝,1,1,13,
9536,56000006,头盔,51273,15-17阶蓝,1,1,13,
9537,56000006,项链,51274,15-17阶蓝,1,1,26,
9538,56000006,项链,51275,15-17阶蓝,1,1,26,
9539,56000006,项链,51276,15-17阶蓝,1,1,26,
9540,56000006,项链,51277,15-17阶蓝,1,1,26,
9541,56000006,项链,51278,15-17阶蓝,1,1,26,
9542,56000006,项链,51279,15-17阶蓝,1,1,26,
9543,56000006,鞋子,51280,15-17阶蓝,1,1,70,
9544,56000006,鞋子,51281,15-17阶蓝,1,1,70,
9545,56000006,胸甲,51282,15-17阶蓝,1,1,35,
9546,56000006,胸甲,51283,15-17阶蓝,1,1,35,
9547,56000006,胸甲,51284,15-17阶蓝,1,1,35,
9548,56000006,胸甲,51285,15-17阶蓝,1,1,35,
9549,56000006,锤子,51286,15-17阶蓝,1,1,8,
9550,56000006,锤子,51287,15-17阶蓝,1,1,8,
9551,56000006,锤子,51288,15-17阶蓝,1,1,8,
9552,56000006,锤子,51289,15-17阶蓝,1,1,8,
9553,56000006,锤子,51290,15-17阶蓝,1,1,8,
9554,56000006,锤子,51291,15-17阶蓝,1,1,8,
9555,56000006,大剑,51292,15-17阶蓝,1,1,8,
9556,56000006,大剑,51293,15-17阶蓝,1,1,8,
9557,56000006,大剑,51294,15-17阶蓝,1,1,8,
9558,56000006,大剑,51295,15-17阶蓝,1,1,8,
9559,56000006,大剑,51296,15-17阶蓝,1,1,8,
9560,56000006,大剑,51297,15-17阶蓝,1,1,8,
9561,56000006,斧子,51298,15-17阶蓝,1,1,8,
9562,56000006,斧子,51299,15-17阶蓝,1,1,8,
9563,56000006,斧子,51300,15-17阶蓝,1,1,8,
9564,56000006,斧子,51301,15-17阶蓝,1,1,8,
9565,56000006,斧子,51302,15-17阶蓝,1,1,8,
9566,56000006,斧子,51303,15-17阶蓝,1,1,8,
9567,56000006,法杖,51304,15-17阶蓝,1,1,8,
9568,56000006,法杖,51305,15-17阶蓝,1,1,8,
9569,56000006,法杖,51306,15-17阶蓝,1,1,8,
9570,56000006,法杖,51307,15-17阶蓝,1,1,8,
9571,56000006,法杖,51308,15-17阶蓝,1,1,8,
9572,56000006,法杖,51309,15-17阶蓝,1,1,8,
9573,56000006,短剑,51310,15-17阶蓝,1,1,8,
9574,56000006,短剑,51311,15-17阶蓝,1,1,8,
9575,56000006,短剑,51312,15-17阶蓝,1,1,8,
9576,56000006,短剑,51313,15-17阶蓝,1,1,8,
9577,56000006,短剑,51314,15-17阶蓝,1,1,8,
9578,56000006,短剑,51315,15-17阶蓝,1,1,8,
9579,56000006,火把,51316,15-17阶蓝,1,1,26,
9580,56000006,火把,51317,15-17阶蓝,1,1,26,
9581,56000006,火把,51318,15-17阶蓝,1,1,26,
9582,56000006,火把,51319,15-17阶蓝,1,1,26,
9583,56000006,火把,51320,15-17阶蓝,1,1,26,
9584,56000006,火把,51321,15-17阶蓝,1,1,26,
9585,56000006,肩甲,51322,15-17阶蓝,1,1,26,
9586,56000006,肩甲,51323,15-17阶蓝,1,1,26,
9587,56000006,肩甲,51324,15-17阶蓝,1,1,26,
9588,56000006,肩甲,51325,15-17阶蓝,1,1,26,
9589,56000006,肩甲,51326,15-17阶蓝,1,1,26,
9590,56000006,肩甲,51327,15-17阶蓝,1,1,26,
9591,56000006,戒指,51328,15-17阶蓝,1,1,53,
9592,56000006,戒指,51329,15-17阶蓝,1,1,53,
9593,56000006,戒指,51330,15-17阶蓝,1,1,53,
9594,56000006,手腕,51331,15-17阶蓝,1,1,53,
9595,56000006,手腕,51332,15-17阶蓝,1,1,53,
9596,56000006,手腕,51333,15-17阶蓝,1,1,53,
9597,56000006,头盔,51334,15-17阶蓝,1,1,13,
9598,56000006,头盔,51335,15-17阶蓝,1,1,13,
9599,56000006,头盔,51336,15-17阶蓝,1,1,13,
9600,56000006,头盔,51337,15-17阶蓝,1,1,13,
9601,56000006,头盔,51338,15-17阶蓝,1,1,13,
9602,56000006,头盔,51339,15-17阶蓝,1,1,13,
9603,56000006,头盔,51340,15-17阶蓝,1,1,13,
9604,56000006,头盔,51341,15-17阶蓝,1,1,13,
9605,56000006,头盔,51342,15-17阶蓝,1,1,13,
9606,56000006,头盔,51343,15-17阶蓝,1,1,13,
9607,56000006,头盔,51344,15-17阶蓝,1,1,13,
9608,56000006,头盔,51345,15-17阶蓝,1,1,13,
9609,56000006,项链,51346,15-17阶蓝,1,1,26,
9610,56000006,项链,51347,15-17阶蓝,1,1,26,
9611,56000006,项链,51348,15-17阶蓝,1,1,26,
9612,56000006,项链,51349,15-17阶蓝,1,1,26,
9613,56000006,项链,51350,15-17阶蓝,1,1,26,
9614,56000006,项链,51351,15-17阶蓝,1,1,26,
9615,56000006,鞋子,51352,15-17阶蓝,1,1,70,
9616,56000006,鞋子,51353,15-17阶蓝,1,1,70,
9617,56000006,胸甲,51354,15-17阶蓝,1,1,35,
9618,56000006,胸甲,51355,15-17阶蓝,1,1,35,
9619,56000006,胸甲,51356,15-17阶蓝,1,1,35,
9620,56000006,胸甲,51357,15-17阶蓝,1,1,35,
9621,56000006,锤子,51358,15-17阶蓝,1,1,8,
9622,56000006,锤子,51359,15-17阶蓝,1,1,8,
9623,56000006,锤子,51360,15-17阶蓝,1,1,8,
9624,56000006,锤子,51361,15-17阶蓝,1,1,8,
9625,56000006,锤子,51362,15-17阶蓝,1,1,8,
9626,56000006,锤子,51363,15-17阶蓝,1,1,8,
9627,56000006,大剑,51364,15-17阶蓝,1,1,8,
9628,56000006,大剑,51365,15-17阶蓝,1,1,8,
9629,56000006,大剑,51366,15-17阶蓝,1,1,8,
9630,56000006,大剑,51367,15-17阶蓝,1,1,8,
9631,56000006,大剑,51368,15-17阶蓝,1,1,8,
9632,56000006,大剑,51369,15-17阶蓝,1,1,8,
9633,56000006,斧子,51370,15-17阶蓝,1,1,8,
9634,56000006,斧子,51371,15-17阶蓝,1,1,8,
9635,56000006,斧子,51372,15-17阶蓝,1,1,8,
9636,56000006,斧子,51373,15-17阶蓝,1,1,8,
9637,56000006,斧子,51374,15-17阶蓝,1,1,8,
9638,56000006,斧子,51375,15-17阶蓝,1,1,8,
9639,56000006,法杖,51376,15-17阶蓝,1,1,8,
9640,56000006,法杖,51377,15-17阶蓝,1,1,8,
9641,56000006,法杖,51378,15-17阶蓝,1,1,8,
9642,56000006,法杖,51379,15-17阶蓝,1,1,8,
9643,56000006,法杖,51380,15-17阶蓝,1,1,8,
9644,56000006,法杖,51381,15-17阶蓝,1,1,8,
9645,56000006,短剑,51382,15-17阶蓝,1,1,8,
9646,56000006,短剑,51383,15-17阶蓝,1,1,8,
9647,56000006,短剑,51384,15-17阶蓝,1,1,8,
9648,56000006,短剑,51385,15-17阶蓝,1,1,8,
9649,56000006,短剑,51386,15-17阶蓝,1,1,8,
9650,56000006,短剑,51387,15-17阶蓝,1,1,8,
9651,56000006,锤子,53056,15-17阶紫,1,1,6,
9652,56000006,锤子,53057,15-17阶紫,1,1,6,
9653,56000006,锤子,53058,15-17阶紫,1,1,6,
9654,56000006,大剑,53059,15-17阶紫,1,1,6,
9655,56000006,大剑,53060,15-17阶紫,1,1,6,
9656,56000006,大剑,53061,15-17阶紫,1,1,6,
9657,56000006,短剑,53062,15-17阶紫,1,1,6,
9658,56000006,短剑,53063,15-17阶紫,1,1,6,
9659,56000006,短剑,53064,15-17阶紫,1,1,6,
9660,56000006,法杖,53065,15-17阶紫,1,1,6,
9661,56000006,法杖,53066,15-17阶紫,1,1,6,
9662,56000006,法杖,53067,15-17阶紫,1,1,6,
9663,56000006,斧子,53068,15-17阶紫,1,1,6,
9664,56000006,斧子,53069,15-17阶紫,1,1,6,
9665,56000006,斧子,53070,15-17阶紫,1,1,6,
9666,56000006,火把,53071,15-17阶紫,1,1,6,
9667,56000006,火把,53072,15-17阶紫,1,1,6,
9668,56000006,火把,53073,15-17阶紫,1,1,6,
9669,56000006,火把,53074,15-17阶紫,1,1,6,
9670,56000006,火把,53075,15-17阶紫,1,1,6,
9671,56000006,火把,53076,15-17阶紫,1,1,6,
9672,56000006,火把,53077,15-17阶紫,1,1,6,
9673,56000006,火把,53078,15-17阶紫,1,1,6,
9674,56000006,火把,53079,15-17阶紫,1,1,6,
9675,56000006,火把,53080,15-17阶紫,1,1,6,
9676,56000006,火把,53081,15-17阶紫,1,1,6,
9677,56000006,火把,53082,15-17阶紫,1,1,6,
9678,56000006,肩甲,53083,15-17阶紫,1,1,6,
9679,56000006,肩甲,53084,15-17阶紫,1,1,6,
9680,56000006,肩甲,53085,15-17阶紫,1,1,6,
9681,56000006,肩甲,53086,15-17阶紫,1,1,6,
9682,56000006,肩甲,53087,15-17阶紫,1,1,6,
9683,56000006,肩甲,53088,15-17阶紫,1,1,6,
9684,56000006,肩甲,53089,15-17阶紫,1,1,6,
9685,56000006,肩甲,53090,15-17阶紫,1,1,6,
9686,56000006,肩甲,53091,15-17阶紫,1,1,6,
9687,56000006,肩甲,53092,15-17阶紫,1,1,6,
9688,56000006,肩甲,53093,15-17阶紫,1,1,6,
9689,56000006,肩甲,53094,15-17阶紫,1,1,6,
9690,56000006,戒指,53095,15-17阶紫,1,1,12,
9691,56000006,戒指,53096,15-17阶紫,1,1,12,
9692,56000006,戒指,53097,15-17阶紫,1,1,12,
9693,56000006,戒指,53098,15-17阶紫,1,1,12,
9694,56000006,戒指,53099,15-17阶紫,1,1,12,
9695,56000006,戒指,53100,15-17阶紫,1,1,12,
9696,56000006,手腕,53101,15-17阶紫,1,1,24,
9697,56000006,手腕,53102,15-17阶紫,1,1,24,
9698,56000006,手腕,53103,15-17阶紫,1,1,24,
9699,56000006,头盔,53104,15-17阶紫,1,1,6,
9700,56000006,头盔,53105,15-17阶紫,1,1,6,
9701,56000006,头盔,53106,15-17阶紫,1,1,6,
9702,56000006,头盔,53107,15-17阶紫,1,1,6,
9703,56000006,头盔,53108,15-17阶紫,1,1,6,
9704,56000006,头盔,53109,15-17阶紫,1,1,6,
9705,56000006,头盔,53110,15-17阶紫,1,1,6,
9706,56000006,头盔,53111,15-17阶紫,1,1,6,
9707,56000006,头盔,53112,15-17阶紫,1,1,6,
9708,56000006,头盔,53113,15-17阶紫,1,1,6,
9709,56000006,头盔,53114,15-17阶紫,1,1,6,
9710,56000006,头盔,53115,15-17阶紫,1,1,6,
9711,56000006,项链,53116,15-17阶紫,1,1,6,
9712,56000006,项链,53117,15-17阶紫,1,1,6,
9713,56000006,项链,53118,15-17阶紫,1,1,6,
9714,56000006,项链,53119,15-17阶紫,1,1,6,
9715,56000006,项链,53120,15-17阶紫,1,1,6,
9716,56000006,项链,53121,15-17阶紫,1,1,6,
9717,56000006,项链,53122,15-17阶紫,1,1,6,
9718,56000006,项链,53123,15-17阶紫,1,1,6,
9719,56000006,项链,53124,15-17阶紫,1,1,6,
9720,56000006,项链,53125,15-17阶紫,1,1,6,
9721,56000006,项链,53126,15-17阶紫,1,1,6,
9722,56000006,项链,53127,15-17阶紫,1,1,6,
9723,56000006,鞋子,53128,15-17阶紫,1,1,36,
9724,56000006,鞋子,53129,15-17阶紫,1,1,36,
9725,56000006,胸甲,53130,15-17阶紫,1,1,18,
9726,56000006,胸甲,53131,15-17阶紫,1,1,18,
9727,56000006,胸甲,53132,15-17阶紫,1,1,18,
9728,56000006,胸甲,53133,15-17阶紫,1,1,18,
9729,56000006,锤子,53134,15-17阶紫,1,1,6,
9730,56000006,锤子,53135,15-17阶紫,1,1,6,
9731,56000006,锤子,53136,15-17阶紫,1,1,6,
9732,56000006,大剑,53137,15-17阶紫,1,1,6,
9733,56000006,大剑,53138,15-17阶紫,1,1,6,
9734,56000006,大剑,53139,15-17阶紫,1,1,6,
9735,56000006,短剑,53140,15-17阶紫,1,1,6,
9736,56000006,短剑,53141,15-17阶紫,1,1,6,
9737,56000006,短剑,53142,15-17阶紫,1,1,6,
9738,56000006,法杖,53143,15-17阶紫,1,1,6,
9739,56000006,法杖,53144,15-17阶紫,1,1,6,
9740,56000006,法杖,53145,15-17阶紫,1,1,6,
9741,56000006,斧子,53146,15-17阶紫,1,1,6,
9742,56000006,斧子,53147,15-17阶紫,1,1,6,
9743,56000006,斧子,53148,15-17阶紫,1,1,6,
9744,56000006,火把,53149,15-17阶紫,1,1,6,
9745,56000006,火把,53150,15-17阶紫,1,1,6,
9746,56000006,火把,53151,15-17阶紫,1,1,6,
9747,56000006,火把,53152,15-17阶紫,1,1,6,
9748,56000006,火把,53153,15-17阶紫,1,1,6,
9749,56000006,火把,53154,15-17阶紫,1,1,6,
9750,56000006,火把,53155,15-17阶紫,1,1,6,
9751,56000006,火把,53156,15-17阶紫,1,1,6,
9752,56000006,火把,53157,15-17阶紫,1,1,6,
9753,56000006,火把,53158,15-17阶紫,1,1,6,
9754,56000006,火把,53159,15-17阶紫,1,1,6,
9755,56000006,火把,53160,15-17阶紫,1,1,6,
9756,56000006,肩甲,53161,15-17阶紫,1,1,6,
9757,56000006,肩甲,53162,15-17阶紫,1,1,6,
9758,56000006,肩甲,53163,15-17阶紫,1,1,6,
9759,56000006,肩甲,53164,15-17阶紫,1,1,6,
9760,56000006,肩甲,53165,15-17阶紫,1,1,6,
9761,56000006,肩甲,53166,15-17阶紫,1,1,6,
9762,56000006,肩甲,53167,15-17阶紫,1,1,6,
9763,56000006,肩甲,53168,15-17阶紫,1,1,6,
9764,56000006,肩甲,53169,15-17阶紫,1,1,6,
9765,56000006,肩甲,53170,15-17阶紫,1,1,6,
9766,56000006,肩甲,53171,15-17阶紫,1,1,6,
9767,56000006,肩甲,53172,15-17阶紫,1,1,6,
9768,56000006,戒指,53173,15-17阶紫,1,1,12,
9769,56000006,戒指,53174,15-17阶紫,1,1,12,
9770,56000006,戒指,53175,15-17阶紫,1,1,12,
9771,56000006,戒指,53176,15-17阶紫,1,1,12,
9772,56000006,戒指,53177,15-17阶紫,1,1,12,
9773,56000006,戒指,53178,15-17阶紫,1,1,12,
9774,56000006,手腕,53179,15-17阶紫,1,1,24,
9775,56000006,手腕,53180,15-17阶紫,1,1,24,
9776,56000006,手腕,53181,15-17阶紫,1,1,24,
9777,56000006,头盔,53182,15-17阶紫,1,1,6,
9778,56000006,头盔,53183,15-17阶紫,1,1,6,
9779,56000006,头盔,53184,15-17阶紫,1,1,6,
9780,56000006,头盔,53185,15-17阶紫,1,1,6,
9781,56000006,头盔,53186,15-17阶紫,1,1,6,
9782,56000006,头盔,53187,15-17阶紫,1,1,6,
9783,56000006,头盔,53188,15-17阶紫,1,1,6,
9784,56000006,头盔,53189,15-17阶紫,1,1,6,
9785,56000006,头盔,53190,15-17阶紫,1,1,6,
9786,56000006,头盔,53191,15-17阶紫,1,1,6,
9787,56000006,头盔,53192,15-17阶紫,1,1,6,
9788,56000006,头盔,53193,15-17阶紫,1,1,6,
9789,56000006,项链,53194,15-17阶紫,1,1,6,
9790,56000006,项链,53195,15-17阶紫,1,1,6,
9791,56000006,项链,53196,15-17阶紫,1,1,6,
9792,56000006,项链,53197,15-17阶紫,1,1,6,
9793,56000006,项链,53198,15-17阶紫,1,1,6,
9794,56000006,项链,53199,15-17阶紫,1,1,6,
9795,56000006,项链,53200,15-17阶紫,1,1,6,
9796,56000006,项链,53201,15-17阶紫,1,1,6,
9797,56000006,项链,53202,15-17阶紫,1,1,6,
9798,56000006,项链,53203,15-17阶紫,1,1,6,
9799,56000006,项链,53204,15-17阶紫,1,1,6,
9800,56000006,项链,53205,15-17阶紫,1,1,6,
9801,56000006,鞋子,53206,15-17阶紫,1,1,36,
9802,56000006,鞋子,53207,15-17阶紫,1,1,36,
9803,56000006,胸甲,53208,15-17阶紫,1,1,18,
9804,56000006,胸甲,53209,15-17阶紫,1,1,18,
9805,56000006,胸甲,53210,15-17阶紫,1,1,18,
9806,56000006,胸甲,53211,15-17阶紫,1,1,18,
9807,56000006,锤子,53212,15-17阶紫,1,1,6,
9808,56000006,锤子,53213,15-17阶紫,1,1,6,
9809,56000006,锤子,53214,15-17阶紫,1,1,6,
9810,56000006,大剑,53215,15-17阶紫,1,1,6,
9811,56000006,大剑,53216,15-17阶紫,1,1,6,
9812,56000006,大剑,53217,15-17阶紫,1,1,6,
9813,56000006,短剑,53218,15-17阶紫,1,1,6,
9814,56000006,短剑,53219,15-17阶紫,1,1,6,
9815,56000006,短剑,53220,15-17阶紫,1,1,6,
9816,56000006,法杖,53221,15-17阶紫,1,1,6,
9817,56000006,法杖,53222,15-17阶紫,1,1,6,
9818,56000006,法杖,53223,15-17阶紫,1,1,6,
9819,56000006,斧子,53224,15-17阶紫,1,1,6,
9820,56000006,斧子,53225,15-17阶紫,1,1,6,
9821,56000006,斧子,53226,15-17阶紫,1,1,6,
9822,56000006,火把,53227,15-17阶紫,1,1,6,
9823,56000006,火把,53228,15-17阶紫,1,1,6,
9824,56000006,火把,53229,15-17阶紫,1,1,6,
9825,56000006,火把,53230,15-17阶紫,1,1,6,
9826,56000006,火把,53231,15-17阶紫,1,1,6,
9827,56000006,火把,53232,15-17阶紫,1,1,6,
9828,56000006,火把,53233,15-17阶紫,1,1,6,
9829,56000006,火把,53234,15-17阶紫,1,1,6,
9830,56000006,火把,53235,15-17阶紫,1,1,6,
9831,56000006,火把,53236,15-17阶紫,1,1,6,
9832,56000006,火把,53237,15-17阶紫,1,1,6,
9833,56000006,火把,53238,15-17阶紫,1,1,6,
9834,56000006,肩甲,53239,15-17阶紫,1,1,6,
9835,56000006,肩甲,53240,15-17阶紫,1,1,6,
9836,56000006,肩甲,53241,15-17阶紫,1,1,6,
9837,56000006,肩甲,53242,15-17阶紫,1,1,6,
9838,56000006,肩甲,53243,15-17阶紫,1,1,6,
9839,56000006,肩甲,53244,15-17阶紫,1,1,6,
9840,56000006,肩甲,53245,15-17阶紫,1,1,6,
9841,56000006,肩甲,53246,15-17阶紫,1,1,6,
9842,56000006,肩甲,53247,15-17阶紫,1,1,6,
9843,56000006,肩甲,53248,15-17阶紫,1,1,6,
9844,56000006,肩甲,53249,15-17阶紫,1,1,6,
9845,56000006,肩甲,53250,15-17阶紫,1,1,6,
9846,56000006,戒指,53251,15-17阶紫,1,1,12,
9847,56000006,戒指,53252,15-17阶紫,1,1,12,
9848,56000006,戒指,53253,15-17阶紫,1,1,12,
9849,56000006,戒指,53254,15-17阶紫,1,1,12,
9850,56000006,戒指,53255,15-17阶紫,1,1,12,
9851,56000006,戒指,53256,15-17阶紫,1,1,12,
9852,56000006,手腕,53257,15-17阶紫,1,1,24,
9853,56000006,手腕,53258,15-17阶紫,1,1,24,
9854,56000006,手腕,53259,15-17阶紫,1,1,24,
9855,56000006,头盔,53260,15-17阶紫,1,1,6,
9856,56000006,头盔,53261,15-17阶紫,1,1,6,
9857,56000006,头盔,53262,15-17阶紫,1,1,6,
9858,56000006,头盔,53263,15-17阶紫,1,1,6,
9859,56000006,头盔,53264,15-17阶紫,1,1,6,
9860,56000006,头盔,53265,15-17阶紫,1,1,6,
9861,56000006,头盔,53266,15-17阶紫,1,1,6,
9862,56000006,头盔,53267,15-17阶紫,1,1,6,
9863,56000006,头盔,53268,15-17阶紫,1,1,6,
9864,56000006,头盔,53269,15-17阶紫,1,1,6,
9865,56000006,头盔,53270,15-17阶紫,1,1,6,
9866,56000006,头盔,53271,15-17阶紫,1,1,6,
9867,56000006,项链,53272,15-17阶紫,1,1,6,
9868,56000006,项链,53273,15-17阶紫,1,1,6,
9869,56000006,项链,53274,15-17阶紫,1,1,6,
9870,56000006,项链,53275,15-17阶紫,1,1,6,
9871,56000006,项链,53276,15-17阶紫,1,1,6,
9872,56000006,项链,53277,15-17阶紫,1,1,6,
9873,56000006,项链,53278,15-17阶紫,1,1,6,
9874,56000006,项链,53279,15-17阶紫,1,1,6,
9875,56000006,项链,53280,15-17阶紫,1,1,6,
9876,56000006,项链,53281,15-17阶紫,1,1,6,
9877,56000006,项链,53282,15-17阶紫,1,1,6,
9878,56000006,项链,53283,15-17阶紫,1,1,6,
9879,56000006,鞋子,53284,15-17阶紫,1,1,36,
9880,56000006,鞋子,53285,15-17阶紫,1,1,36,
9881,56000006,胸甲,53286,15-17阶紫,1,1,18,
9882,56000006,胸甲,53287,15-17阶紫,1,1,18,
9883,56000006,胸甲,53288,15-17阶紫,1,1,18,
9884,56000006,胸甲,53289,15-17阶紫,1,1,20,
9885,56000007,胸甲,42776,18-20阶,1,1,60,
9886,56000007,胸甲,42777,18-20阶,1,1,67,
9887,56000007,胸甲,42778,18-20阶,1,1,67,
9888,56000007,胸甲,42779,18-20阶,1,1,67,
9889,56000007,鞋子,42780,18-20阶,1,1,67,
9890,56000007,鞋子,42781,18-20阶,1,1,67,
9891,56000007,鞋子,42782,18-20阶,1,1,67,
9892,56000007,鞋子,42783,18-20阶,1,1,67,
9893,56000007,项链,42784,18-20阶,1,1,18,
9894,56000007,项链,42785,18-20阶,1,1,18,
9895,56000007,项链,42786,18-20阶,1,1,18,
9896,56000007,项链,42787,18-20阶,1,1,18,
9897,56000007,项链,42788,18-20阶,1,1,18,
9898,56000007,项链,42789,18-20阶,1,1,18,
9899,56000007,项链,42790,18-20阶,1,1,18,
9900,56000007,项链,42791,18-20阶,1,1,18,
9901,56000007,项链,42792,18-20阶,1,1,18,
9902,56000007,项链,42793,18-20阶,1,1,18,
9903,56000007,项链,42794,18-20阶,1,1,18,
9904,56000007,项链,42795,18-20阶,1,1,18,
9905,56000007,项链,42796,18-20阶,1,1,18,
9906,56000007,项链,42797,18-20阶,1,1,18,
9907,56000007,项链,42798,18-20阶,1,1,18,
9908,56000007,头盔,42799,18-20阶,1,1,22,
9909,56000007,头盔,42800,18-20阶,1,1,22,
9910,56000007,头盔,42801,18-20阶,1,1,22,
9911,56000007,头盔,42802,18-20阶,1,1,22,
9912,56000007,头盔,42803,18-20阶,1,1,22,
9913,56000007,头盔,42804,18-20阶,1,1,22,
9914,56000007,头盔,42805,18-20阶,1,1,22,
9915,56000007,头盔,42806,18-20阶,1,1,22,
9916,56000007,头盔,42807,18-20阶,1,1,22,
9917,56000007,头盔,42808,18-20阶,1,1,22,
9918,56000007,头盔,42809,18-20阶,1,1,22,
9919,56000007,头盔,42810,18-20阶,1,1,22,
9920,56000007,手腕,42811,18-20阶,1,1,30,
9921,56000007,手腕,42812,18-20阶,1,1,30,
9922,56000007,手腕,42813,18-20阶,1,1,30,
9923,56000007,手腕,42814,18-20阶,1,1,30,
9924,56000007,手腕,42815,18-20阶,1,1,30,
9925,56000007,手腕,42816,18-20阶,1,1,30,
9926,56000007,手腕,42817,18-20阶,1,1,30,
9927,56000007,手腕,42818,18-20阶,1,1,30,
9928,56000007,手腕,42819,18-20阶,1,1,30,
9929,56000007,戒指,42820,18-20阶,1,1,22,
9930,56000007,戒指,42821,18-20阶,1,1,22,
9931,56000007,戒指,42822,18-20阶,1,1,22,
9932,56000007,戒指,42823,18-20阶,1,1,22,
9933,56000007,戒指,42824,18-20阶,1,1,22,
9934,56000007,戒指,42825,18-20阶,1,1,22,
9935,56000007,戒指,42826,18-20阶,1,1,22,
9936,56000007,戒指,42827,18-20阶,1,1,22,
9937,56000007,戒指,42828,18-20阶,1,1,22,
9938,56000007,戒指,42829,18-20阶,1,1,22,
9939,56000007,戒指,42830,18-20阶,1,1,22,
9940,56000007,戒指,42831,18-20阶,1,1,22,
9941,56000007,肩甲,42832,18-20阶,1,1,18,
9942,56000007,肩甲,42833,18-20阶,1,1,18,
9943,56000007,肩甲,42834,18-20阶,1,1,18,
9944,56000007,肩甲,42835,18-20阶,1,1,18,
9945,56000007,肩甲,42836,18-20阶,1,1,18,
