ID,装备等级,装备类型,职业需求,装备评分,使用部位,能否带回城镇,套装,强化上限,属性1,属性1增加值,属性2,属性2增加值,属性3,属性3增加值,属性4,属性4增加值,属性5,属性5增加值,属性6,属性6增加值,属性7,属性7增加值,属性8,属性8增加值,额外增加攻击速度,背面插槽,背面贴图,侧面插槽,侧面贴图,正面插槽,正面贴图
43384,21,1,0,1950,6,0,0,0,2,60,1,111,10,29,0,114,11,10,0,3,0,0.01,0,0.05,50,sword01,T3_b_sword05,sword01,T3_s_sword05,sword01,T3_f_sword05
43385,21,1,0,1950,6,0,0,0,2,60,1,111,12,29,0,114,11,10,0,3,0,0.01,0,0.05,50,sword01,T3_b_sword05,sword01,T3_s_sword05,sword01,T3_f_sword05
43386,21,1,0,1950,6,0,0,0,2,60,1,111,13,29,0,114,11,10,0,3,0,0.01,0,0.05,50,sword01,T3_b_sword05,sword01,T3_s_sword05,sword01,T3_f_sword05
43387,21,1,0,1845,6,0,0,0,2,60,1,111,10,29,0,114,0,10,16,3,0,0.01,0,0.05,50,sword01,T3_b_sword05,sword01,T3_s_sword05,sword01,T3_f_sword05
43388,21,1,0,1845,6,0,0,0,2,60,1,111,12,29,0,114,0,10,16,3,0,0.01,0,0.05,50,sword01,T3_b_sword05,sword01,T3_s_sword05,sword01,T3_f_sword05
43389,21,1,0,1845,6,0,0,0,2,60,1,111,13,29,0,114,0,10,16,3,0,0.01,0,0.05,50,sword01,T3_b_sword05,sword01,T3_s_sword05,sword01,T3_f_sword05
43390,21,1,0,3436,6,0,0,0,2,85,1,158,10,29,1,81,0,10,0,3,0,0.01,0,0.05,50,sword01,T5_b_sword01,sword01,T5_s_sword01,sword01,T5_f_sword01
43391,21,1,0,3436,6,0,0,0,2,85,1,158,12,29,1,81,0,10,0,3,0,0.01,0,0.05,50,sword01,T5_b_sword01,sword01,T5_s_sword01,sword01,T5_f_sword01
43392,21,1,0,3436,6,0,0,0,2,85,1,158,13,29,1,81,0,10,0,3,0,0.01,0,0.05,50,sword01,T5_b_sword01,sword01,T5_s_sword01,sword01,T5_f_sword01
43393,21,1,0,2857,6,0,0,0,2,85,1,158,10,29,0,81,9,10,0,3,0,0.01,0,0.05,50,sword01,T5_b_sword01,sword01,T5_s_sword01,sword01,T5_f_sword01
43394,21,1,0,2857,6,0,0,0,2,85,1,158,12,29,0,81,9,10,0,3,0,0.01,0,0.05,50,sword01,T5_b_sword01,sword01,T5_s_sword01,sword01,T5_f_sword01
43395,21,1,0,2857,6,0,0,0,2,85,1,158,13,29,0,81,9,10,0,3,0,0.01,0,0.05,50,sword01,T5_b_sword01,sword01,T5_s_sword01,sword01,T5_f_sword01
43396,21,1,0,2752,6,0,0,0,2,85,1,158,10,29,0,81,0,10,14,3,0,0.01,0,0.05,50,sword01,T5_b_sword01,sword01,T5_s_sword01,sword01,T5_f_sword01
43397,21,1,0,2752,6,0,0,0,2,85,1,158,12,29,0,81,0,10,14,3,0,0.01,0,0.05,50,sword01,T5_b_sword01,sword01,T5_s_sword01,sword01,T5_f_sword01
43398,21,1,0,2752,6,0,0,0,2,85,1,158,13,29,0,81,0,10,14,3,0,0.01,0,0.05,50,sword01,T5_b_sword01,sword01,T5_s_sword01,sword01,T5_f_sword01
43399,21,1,0,2857,6,0,0,0,2,85,1,158,10,29,0,81,11,10,0,3,0,0.01,0,0.05,50,sword01,T5_b_sword01,sword01,T5_s_sword01,sword01,T5_f_sword01
43400,21,1,0,2857,6,0,0,0,2,85,1,158,12,29,0,81,11,10,0,3,0,0.01,0,0.05,50,sword01,T5_b_sword01,sword01,T5_s_sword01,sword01,T5_f_sword01
43401,21,1,0,2857,6,0,0,0,2,85,1,158,13,29,0,81,11,10,0,3,0,0.01,0,0.05,50,sword01,T5_b_sword01,sword01,T5_s_sword01,sword01,T5_f_sword01
43402,21,1,0,2752,6,0,0,0,2,85,1,158,10,29,0,81,0,10,16,3,0,0.01,0,0.05,50,sword01,T5_b_sword01,sword01,T5_s_sword01,sword01,T5_f_sword01
43403,21,1,0,2752,6,0,0,0,2,85,1,158,12,29,0,81,0,10,16,3,0,0.01,0,0.05,50,sword01,T5_b_sword01,sword01,T5_s_sword01,sword01,T5_f_sword01
43404,21,1,0,2752,6,0,0,0,2,85,1,158,13,29,0,81,0,10,16,3,0,0.01,0,0.05,50,sword01,T5_b_sword01,sword01,T5_s_sword01,sword01,T5_f_sword01
43405,21,1,0,4577,6,0,0,0,2,128,1,237,10,29,1,81,0,10,0,3,0,0.01,0,0.05,0,sword01,T7_b_sword03,sword01,T7_s_sword03,sword01,T7_f_sword03
43406,21,1,0,4577,6,0,0,0,2,128,1,237,12,29,1,81,0,10,0,3,0,0.01,0,0.05,0,sword01,T7_b_sword03,sword01,T7_s_sword03,sword01,T7_f_sword03
43407,21,1,0,4577,6,0,0,0,2,128,1,237,13,29,1,81,0,10,0,3,0,0.01,0,0.05,0,sword01,T7_b_sword03,sword01,T7_s_sword03,sword01,T7_f_sword03
43408,21,1,0,3998,6,0,0,0,2,128,1,237,10,29,0,81,9,10,0,3,0,0.01,0,0.05,0,sword01,T7_b_sword03,sword01,T7_s_sword03,sword01,T7_f_sword03
43409,21,1,0,3998,6,0,0,0,2,128,1,237,12,29,0,81,9,10,0,3,0,0.01,0,0.05,0,sword01,T7_b_sword03,sword01,T7_s_sword03,sword01,T7_f_sword03
43410,21,1,0,3998,6,0,0,0,2,128,1,237,13,29,0,81,9,10,0,3,0,0.01,0,0.05,0,sword01,T7_b_sword03,sword01,T7_s_sword03,sword01,T7_f_sword03
43411,21,1,0,3893,6,0,0,0,2,128,1,237,10,29,0,81,0,10,14,3,0,0.01,0,0.05,0,sword01,T7_b_sword03,sword01,T7_s_sword03,sword01,T7_f_sword03
43412,21,1,0,3893,6,0,0,0,2,128,1,237,12,29,0,81,0,10,14,3,0,0.01,0,0.05,0,sword01,T7_b_sword03,sword01,T7_s_sword03,sword01,T7_f_sword03
43413,21,1,0,3893,6,0,0,0,2,128,1,237,13,29,0,81,0,10,14,3,0,0.01,0,0.05,0,sword01,T7_b_sword03,sword01,T7_s_sword03,sword01,T7_f_sword03
43414,21,1,0,3998,6,0,0,0,2,128,1,237,10,29,0,81,11,10,0,3,0,0.01,0,0.05,0,sword01,T7_b_sword03,sword01,T7_s_sword03,sword01,T7_f_sword03
43415,21,1,0,3998,6,0,0,0,2,128,1,237,12,29,0,81,11,10,0,3,0,0.01,0,0.05,0,sword01,T7_b_sword03,sword01,T7_s_sword03,sword01,T7_f_sword03
43416,21,1,0,3998,6,0,0,0,2,128,1,237,13,29,0,81,11,10,0,3,0,0.01,0,0.05,0,sword01,T7_b_sword03,sword01,T7_s_sword03,sword01,T7_f_sword03
43417,21,1,0,3893,6,0,0,0,2,128,1,237,10,29,0,81,0,10,16,3,0,0.01,0,0.05,0,sword01,T7_b_sword03,sword01,T7_s_sword03,sword01,T7_f_sword03
43418,21,1,0,3893,6,0,0,0,2,128,1,237,12,29,0,81,0,10,16,3,0,0.01,0,0.05,0,sword01,T7_b_sword03,sword01,T7_s_sword03,sword01,T7_f_sword03
43419,21,1,0,3893,6,0,0,0,2,128,1,237,13,29,0,81,0,10,16,3,0,0.01,0,0.05,0,sword01,T7_b_sword03,sword01,T7_s_sword03,sword01,T7_f_sword03
43420,22,2,0,3364,2,0,0,0,6,4,5,14,24,2609,5,38,0,2739,0,11,0,14,0,29,0,cloak2|leg_big_right|leg_big_left|cloak|arm_big_right|arm_big_left|chest|belt,T4_b_cloak2|T4_b_leg_big_right|T4_b_leg_big_left|T4_b_cloak|T4_b_arm_big_right|T4_b_arm_big_left|T4_b_chest|T4_b_belt,arm_big_left|leg_big_left|cloak2|cloak|chest|leg_big_right|belt|arm_big_right,T4_s_arm_big_left|T4_s_leg_big_left|T4_s_cloak2|T4_s_cloak|T4_s_chest|T4_s_leg_big_right|T4_s_belt|T4_s_arm_big_right,cloak2|leg_big_left|leg_big_right|arm_big_left|arm_big_right|chest|cloak|belt,T4_f_cloak2|T4_f_leg_big_left|T4_f_leg_big_right|T4_f_arm_big_left|T4_f_arm_big_right|T4_f_chest|T4_f_cloak|T4_f_belt
43421,22,2,0,6788,2,0,0,0,6,4,5,14,24,2609,0,38,24,2739,0,11,0,14,0,29,0,cloak2|leg_big_right|leg_big_left|cloak|arm_big_right|arm_big_left|chest|belt,T4_b_cloak2|T4_b_leg_big_right|T4_b_leg_big_left|T4_b_cloak|T4_b_arm_big_right|T4_b_arm_big_left|T4_b_chest|T4_b_belt,arm_big_left|leg_big_left|cloak2|cloak|chest|leg_big_right|belt|arm_big_right,T4_s_arm_big_left|T4_s_leg_big_left|T4_s_cloak2|T4_s_cloak|T4_s_chest|T4_s_leg_big_right|T4_s_belt|T4_s_arm_big_right,cloak2|leg_big_left|leg_big_right|arm_big_left|arm_big_right|chest|cloak|belt,T4_f_cloak2|T4_f_leg_big_left|T4_f_leg_big_right|T4_f_arm_big_left|T4_f_arm_big_right|T4_f_chest|T4_f_cloak|T4_f_belt
43422,22,2,0,3219,2,0,0,0,6,4,5,14,24,2609,0,38,0,2739,9,11,0,14,0,29,0,cloak2|leg_big_right|leg_big_left|cloak|arm_big_right|arm_big_left|chest|belt,T4_b_cloak2|T4_b_leg_big_right|T4_b_leg_big_left|T4_b_cloak|T4_b_arm_big_right|T4_b_arm_big_left|T4_b_chest|T4_b_belt,arm_big_left|leg_big_left|cloak2|cloak|chest|leg_big_right|belt|arm_big_right,T4_s_arm_big_left|T4_s_leg_big_left|T4_s_cloak2|T4_s_cloak|T4_s_chest|T4_s_leg_big_right|T4_s_belt|T4_s_arm_big_right,cloak2|leg_big_left|leg_big_right|arm_big_left|arm_big_right|chest|cloak|belt,T4_f_cloak2|T4_f_leg_big_left|T4_f_leg_big_right|T4_f_arm_big_left|T4_f_arm_big_right|T4_f_chest|T4_f_cloak|T4_f_belt
43423,22,2,0,3219,2,0,0,0,6,4,5,14,24,2609,0,38,0,2739,11,11,0,14,0,29,0,cloak2|leg_big_right|leg_big_left|cloak|arm_big_right|arm_big_left|chest|belt,T4_b_cloak2|T4_b_leg_big_right|T4_b_leg_big_left|T4_b_cloak|T4_b_arm_big_right|T4_b_arm_big_left|T4_b_chest|T4_b_belt,arm_big_left|leg_big_left|cloak2|cloak|chest|leg_big_right|belt|arm_big_right,T4_s_arm_big_left|T4_s_leg_big_left|T4_s_cloak2|T4_s_cloak|T4_s_chest|T4_s_leg_big_right|T4_s_belt|T4_s_arm_big_right,cloak2|leg_big_left|leg_big_right|arm_big_left|arm_big_right|chest|cloak|belt,T4_f_cloak2|T4_f_leg_big_left|T4_f_leg_big_right|T4_f_arm_big_left|T4_f_arm_big_right|T4_f_chest|T4_f_cloak|T4_f_belt
43424,22,2,0,1352,4,0,0,0,6,7,5,28,24,783,5,22,0,1370,0,7,0,22,0,4,0,foot_right|leg_small_right|leg_small_left|foot_left,T4_b_foot_right|T4_b_leg_small_right|T4_b_leg_small_left|T4_b_foot_left,leg_small_left|foot_left|foot_right|leg_small_right,T4_s_leg_small_left|T4_s_foot_left|T4_s_foot_right|T4_s_leg_small_right,leg_small_left|foot_left|foot_right|leg_small_right,T4_f_leg_small_left|T4_f_foot_left|T4_f_foot_right|T4_f_leg_small_right
43425,22,2,0,3044,4,0,0,0,6,7,5,28,24,783,0,22,24,1370,0,7,0,22,0,4,0,foot_right|leg_small_right|leg_small_left|foot_left,T4_b_foot_right|T4_b_leg_small_right|T4_b_leg_small_left|T4_b_foot_left,leg_small_left|foot_left|foot_right|leg_small_right,T4_s_leg_small_left|T4_s_foot_left|T4_s_foot_right|T4_s_leg_small_right,leg_small_left|foot_left|foot_right|leg_small_right,T4_f_leg_small_left|T4_f_foot_left|T4_f_foot_right|T4_f_leg_small_right
43426,22,2,0,1267,4,0,0,0,6,7,5,28,24,783,0,22,0,1370,14,7,0,22,0,4,0,foot_right|leg_small_right|leg_small_left|foot_left,T4_b_foot_right|T4_b_leg_small_right|T4_b_leg_small_left|T4_b_foot_left,leg_small_left|foot_left|foot_right|leg_small_right,T4_s_leg_small_left|T4_s_foot_left|T4_s_foot_right|T4_s_leg_small_right,leg_small_left|foot_left|foot_right|leg_small_right,T4_f_leg_small_left|T4_f_foot_left|T4_f_foot_right|T4_f_leg_small_right
43427,22,2,0,1267,4,0,0,0,6,7,5,28,24,783,0,22,0,1370,16,7,0,22,0,4,0,foot_right|leg_small_right|leg_small_left|foot_left,T4_b_foot_right|T4_b_leg_small_right|T4_b_leg_small_left|T4_b_foot_left,leg_small_left|foot_left|foot_right|leg_small_right,T4_s_leg_small_left|T4_s_foot_left|T4_s_foot_right|T4_s_leg_small_right,leg_small_left|foot_left|foot_right|leg_small_right,T4_f_leg_small_left|T4_f_foot_left|T4_f_foot_right|T4_f_leg_small_right
43428,22,3,0,1318,7,0,0,0,5,10,15,5,25,34,24,457,0,16,0,18,0,51,0,11,0,0,0,0,0,0,0
43429,22,3,0,1318,7,0,0,0,5,10,17,5,25,34,24,457,0,16,0,18,0,51,0,11,0,0,0,0,0,0,0
43430,22,3,0,1318,7,0,0,0,5,10,18,5,25,34,24,457,0,16,0,18,0,51,0,11,0,0,0,0,0,0,0
43431,22,3,0,830,7,0,0,0,5,10,15,5,25,34,0,457,9,16,0,18,0,51,0,11,0,0,0,0,0,0,0
43432,22,3,0,830,7,0,0,0,5,10,17,5,25,34,0,457,9,16,0,18,0,51,0,11,0,0,0,0,0,0,0
43433,22,3,0,830,7,0,0,0,5,10,18,5,25,34,0,457,9,16,0,18,0,51,0,11,0,0,0,0,0,0,0
43434,22,3,0,815,7,0,0,0,5,10,15,5,25,34,0,457,0,16,14,18,0,51,0,11,0,0,0,0,0,0,0
43435,22,3,0,815,7,0,0,0,5,10,17,5,25,34,0,457,0,16,14,18,0,51,0,11,0,0,0,0,0,0,0
43436,22,3,0,815,7,0,0,0,5,10,18,5,25,34,0,457,0,16,14,18,0,51,0,11,0,0,0,0,0,0,0
43437,22,3,0,830,7,0,0,0,5,10,15,5,25,34,0,457,11,16,0,18,0,51,0,11,0,0,0,0,0,0,0
43438,22,3,0,830,7,0,0,0,5,10,17,5,25,34,0,457,11,16,0,18,0,51,0,11,0,0,0,0,0,0,0
43439,22,3,0,830,7,0,0,0,5,10,18,5,25,34,0,457,11,16,0,18,0,51,0,11,0,0,0,0,0,0,0
43440,22,3,0,815,7,0,0,0,5,10,15,5,25,34,0,457,0,16,16,18,0,51,0,11,0,0,0,0,0,0,0
43441,22,3,0,815,7,0,0,0,5,10,17,5,25,34,0,457,0,16,16,18,0,51,0,11,0,0,0,0,0,0,0
43442,22,3,0,815,7,0,0,0,5,10,18,5,25,34,0,457,0,16,16,18,0,51,0,11,0,0,0,0,0,0,0
43443,22,2,0,2290,1,0,0,0,24,1044,15,8,25,54,5,22,0,2283,0,16,0,11,0,4,0,head,T4_b_head,head,T4_s_head,head,T4_f_head
43444,22,2,0,2290,1,0,0,0,24,1044,17,8,25,54,5,22,0,2283,0,16,0,11,0,4,0,head,T4_b_head,head,T4_s_head,head,T4_f_head
43445,22,2,0,2290,1,0,0,0,24,1044,18,8,25,54,5,22,0,2283,0,16,0,11,0,4,0,head,T4_b_head,head,T4_s_head,head,T4_f_head
43446,22,2,0,5196,1,0,0,0,24,1044,15,8,25,54,0,22,24,2283,0,16,0,11,0,4,0,head,T4_b_head,head,T4_s_head,head,T4_f_head
43447,22,2,0,5196,1,0,0,0,24,1044,17,8,25,54,0,22,24,2283,0,16,0,11,0,4,0,head,T4_b_head,head,T4_s_head,head,T4_f_head
43448,22,2,0,5196,1,0,0,0,24,1044,18,8,25,54,0,22,24,2283,0,16,0,11,0,4,0,head,T4_b_head,head,T4_s_head,head,T4_f_head
43449,22,2,0,2280,1,0,0,0,24,1044,15,8,25,54,0,22,0,2283,9,16,0,11,0,4,0,head,T4_b_head,head,T4_s_head,head,T4_f_head
43450,22,2,0,2280,1,0,0,0,24,1044,17,8,25,54,0,22,0,2283,9,16,0,11,0,4,0,head,T4_b_head,head,T4_s_head,head,T4_f_head
43451,22,2,0,2280,1,0,0,0,24,1044,18,8,25,54,0,22,0,2283,9,16,0,11,0,4,0,head,T4_b_head,head,T4_s_head,head,T4_f_head
43452,22,2,0,2280,1,0,0,0,24,1044,15,8,25,54,0,22,0,2283,11,16,0,11,0,4,0,head,T4_b_head,head,T4_s_head,head,T4_f_head
43453,22,2,0,2280,1,0,0,0,24,1044,17,8,25,54,0,22,0,2283,11,16,0,11,0,4,0,head,T4_b_head,head,T4_s_head,head,T4_f_head
43454,22,2,0,2280,1,0,0,0,24,1044,18,8,25,54,0,22,0,2283,11,16,0,11,0,4,0,head,T4_b_head,head,T4_s_head,head,T4_f_head
43455,22,2,0,703,5,0,0,0,6,3,5,14,15,22,1,74,0,17,0,1370,0,0.04,0,0.11,0,hand_right|arm_small_right|arm_small_left,T4_b_hand_right|T4_b_arm_small_right|T4_b_arm_small_left,hand_left|arm_small_left|hand_right|arm_small_right,T4_s_hand_left|T4_s_arm_small_left|T4_s_hand_right|T4_s_arm_small_right,hand_left|arm_small_left|hand_right|arm_small_right,T4_f_hand_left|T4_f_arm_small_left|T4_f_hand_right|T4_f_arm_small_right
43456,22,2,0,703,5,0,0,0,6,3,5,14,17,22,1,74,0,17,0,1370,0,0.04,0,0.11,0,hand_right|arm_small_right|arm_small_left,T4_b_hand_right|T4_b_arm_small_right|T4_b_arm_small_left,hand_left|arm_small_left|hand_right|arm_small_right,T4_s_hand_left|T4_s_arm_small_left|T4_s_hand_right|T4_s_arm_small_right,hand_left|arm_small_left|hand_right|arm_small_right,T4_f_hand_left|T4_f_arm_small_left|T4_f_hand_right|T4_f_arm_small_right
43457,22,2,0,703,5,0,0,0,6,3,5,14,18,22,1,74,0,17,0,1370,0,0.04,0,0.11,0,hand_right|arm_small_right|arm_small_left,T4_b_hand_right|T4_b_arm_small_right|T4_b_arm_small_left,hand_left|arm_small_left|hand_right|arm_small_right,T4_s_hand_left|T4_s_arm_small_left|T4_s_hand_right|T4_s_arm_small_right,hand_left|arm_small_left|hand_right|arm_small_right,T4_f_hand_left|T4_f_arm_small_left|T4_f_hand_right|T4_f_arm_small_right
43458,22,2,0,515,5,0,0,0,6,3,5,14,15,22,0,74,5,17,0,1370,0,0.04,0,0.11,0,hand_right|arm_small_right|arm_small_left,T4_b_hand_right|T4_b_arm_small_right|T4_b_arm_small_left,hand_left|arm_small_left|hand_right|arm_small_right,T4_s_hand_left|T4_s_arm_small_left|T4_s_hand_right|T4_s_arm_small_right,hand_left|arm_small_left|hand_right|arm_small_right,T4_f_hand_left|T4_f_arm_small_left|T4_f_hand_right|T4_f_arm_small_right
43459,22,2,0,515,5,0,0,0,6,3,5,14,17,22,0,74,5,17,0,1370,0,0.04,0,0.11,0,hand_right|arm_small_right|arm_small_left,T4_b_hand_right|T4_b_arm_small_right|T4_b_arm_small_left,hand_left|arm_small_left|hand_right|arm_small_right,T4_s_hand_left|T4_s_arm_small_left|T4_s_hand_right|T4_s_arm_small_right,hand_left|arm_small_left|hand_right|arm_small_right,T4_f_hand_left|T4_f_arm_small_left|T4_f_hand_right|T4_f_arm_small_right
43460,22,2,0,515,5,0,0,0,6,3,5,14,18,22,0,74,5,17,0,1370,0,0.04,0,0.11,0,hand_right|arm_small_right|arm_small_left,T4_b_hand_right|T4_b_arm_small_right|T4_b_arm_small_left,hand_left|arm_small_left|hand_right|arm_small_right,T4_s_hand_left|T4_s_arm_small_left|T4_s_hand_right|T4_s_arm_small_right,hand_left|arm_small_left|hand_right|arm_small_right,T4_f_hand_left|T4_f_arm_small_left|T4_f_hand_right|T4_f_arm_small_right
43461,22,2,0,2237,5,0,0,0,6,3,5,14,15,22,0,74,0,17,24,1370,0,0.04,0,0.11,0,hand_right|arm_small_right|arm_small_left,T4_b_hand_right|T4_b_arm_small_right|T4_b_arm_small_left,hand_left|arm_small_left|hand_right|arm_small_right,T4_s_hand_left|T4_s_arm_small_left|T4_s_hand_right|T4_s_arm_small_right,hand_left|arm_small_left|hand_right|arm_small_right,T4_f_hand_left|T4_f_arm_small_left|T4_f_hand_right|T4_f_arm_small_right
43462,22,2,0,2237,5,0,0,0,6,3,5,14,17,22,0,74,0,17,24,1370,0,0.04,0,0.11,0,hand_right|arm_small_right|arm_small_left,T4_b_hand_right|T4_b_arm_small_right|T4_b_arm_small_left,hand_left|arm_small_left|hand_right|arm_small_right,T4_s_hand_left|T4_s_arm_small_left|T4_s_hand_right|T4_s_arm_small_right,hand_left|arm_small_left|hand_right|arm_small_right,T4_f_hand_left|T4_f_arm_small_left|T4_f_hand_right|T4_f_arm_small_right
43463,22,2,0,2237,5,0,0,0,6,3,5,14,18,22,0,74,0,17,24,1370,0,0.04,0,0.11,0,hand_right|arm_small_right|arm_small_left,T4_b_hand_right|T4_b_arm_small_right|T4_b_arm_small_left,hand_left|arm_small_left|hand_right|arm_small_right,T4_s_hand_left|T4_s_arm_small_left|T4_s_hand_right|T4_s_arm_small_right,hand_left|arm_small_left|hand_right|arm_small_right,T4_f_hand_left|T4_f_arm_small_left|T4_f_hand_right|T4_f_arm_small_right
43464,22,3,0,1773,8,0,0,0,1,48,10,35,25,41,1,92,0,21,0,22,0,7,0,0.06,0,0,0,0,0,0,0
43465,22,3,0,1773,8,0,0,0,1,48,12,35,25,41,1,92,0,21,0,22,0,7,0,0.06,0,0,0,0,0,0,0
43466,22,3,0,1773,8,0,0,0,1,48,13,35,25,41,1,92,0,21,0,22,0,7,0,0.06,0,0,0,0,0,0,0
43467,22,3,0,1563,8,0,0,0,1,48,10,35,25,41,0,92,9,21,0,22,0,7,0,0.06,0,0,0,0,0,0,0
43468,22,3,0,1563,8,0,0,0,1,48,12,35,25,41,0,92,9,21,0,22,0,7,0,0.06,0,0,0,0,0,0,0
43469,22,3,0,1563,8,0,0,0,1,48,13,35,25,41,0,92,9,21,0,22,0,7,0,0.06,0,0,0,0,0,0,0
43470,22,3,0,1818,8,0,0,0,1,48,10,35,25,41,0,92,0,21,20,22,0,7,0,0.06,0,0,0,0,0,0,0
43471,22,3,0,1818,8,0,0,0,1,48,12,35,25,41,0,92,0,21,20,22,0,7,0,0.06,0,0,0,0,0,0,0
43472,22,3,0,1818,8,0,0,0,1,48,13,35,25,41,0,92,0,21,20,22,0,7,0,0.06,0,0,0,0,0,0,0
43473,22,3,0,1563,8,0,0,0,1,48,10,35,25,41,0,92,11,21,0,22,0,7,0,0.06,0,0,0,0,0,0,0
43474,22,3,0,1563,8,0,0,0,1,48,12,35,25,41,0,92,11,21,0,22,0,7,0,0.06,0,0,0,0,0,0,0
43475,22,3,0,1563,8,0,0,0,1,48,13,35,25,41,0,92,11,21,0,22,0,7,0,0.06,0,0,0,0,0,0,0
43476,22,2,0,580,3,0,0,0,6,7,5,28,15,15,5,11,0,16,0,11,0,4,0,0.08,0,scapula_left|scapula_right,T4_b_scapula_left|T4_b_scapula_right,scapula_left|scapula_right,T4_s_scapula_left|T4_s_scapula_right,scapula_right|scapula_left,T4_f_scapula_right|T4_f_scapula_left
43477,22,2,0,580,3,0,0,0,6,7,5,28,17,15,5,11,0,16,0,11,0,4,0,0.08,0,scapula_left|scapula_right,T4_b_scapula_left|T4_b_scapula_right,scapula_left|scapula_right,T4_s_scapula_left|T4_s_scapula_right,scapula_right|scapula_left,T4_f_scapula_right|T4_f_scapula_left
43478,22,2,0,580,3,0,0,0,6,7,5,28,18,15,5,11,0,16,0,11,0,4,0,0.08,0,scapula_left|scapula_right,T4_b_scapula_left|T4_b_scapula_right,scapula_left|scapula_right,T4_s_scapula_left|T4_s_scapula_right,scapula_right|scapula_left,T4_f_scapula_right|T4_f_scapula_left
43479,22,2,0,630,3,0,0,0,6,7,5,28,15,15,0,11,9,16,0,11,0,4,0,0.08,0,scapula_left|scapula_right,T4_b_scapula_left|T4_b_scapula_right,scapula_left|scapula_right,T4_s_scapula_left|T4_s_scapula_right,scapula_right|scapula_left,T4_f_scapula_right|T4_f_scapula_left
43480,22,2,0,630,3,0,0,0,6,7,5,28,17,15,0,11,9,16,0,11,0,4,0,0.08,0,scapula_left|scapula_right,T4_b_scapula_left|T4_b_scapula_right,scapula_left|scapula_right,T4_s_scapula_left|T4_s_scapula_right,scapula_right|scapula_left,T4_f_scapula_right|T4_f_scapula_left
43481,22,2,0,630,3,0,0,0,6,7,5,28,18,15,0,11,9,16,0,11,0,4,0,0.08,0,scapula_left|scapula_right,T4_b_scapula_left|T4_b_scapula_right,scapula_left|scapula_right,T4_s_scapula_left|T4_s_scapula_right,scapula_right|scapula_left,T4_f_scapula_right|T4_f_scapula_left
43482,22,2,0,570,3,0,0,0,6,7,5,28,15,15,0,11,0,16,14,11,0,4,0,0.08,0,scapula_left|scapula_right,T4_b_scapula_left|T4_b_scapula_right,scapula_left|scapula_right,T4_s_scapula_left|T4_s_scapula_right,scapula_right|scapula_left,T4_f_scapula_right|T4_f_scapula_left
43483,22,2,0,570,3,0,0,0,6,7,5,28,17,15,0,11,0,16,14,11,0,4,0,0.08,0,scapula_left|scapula_right,T4_b_scapula_left|T4_b_scapula_right,scapula_left|scapula_right,T4_s_scapula_left|T4_s_scapula_right,scapula_right|scapula_left,T4_f_scapula_right|T4_f_scapula_left
43484,22,2,0,570,3,0,0,0,6,7,5,28,18,15,0,11,0,16,14,11,0,4,0,0.08,0,scapula_left|scapula_right,T4_b_scapula_left|T4_b_scapula_right,scapula_left|scapula_right,T4_s_scapula_left|T4_s_scapula_right,scapula_right|scapula_left,T4_f_scapula_right|T4_f_scapula_left
43485,22,2,0,630,3,0,0,0,6,7,5,28,15,15,0,11,11,16,0,11,0,4,0,0.08,0,scapula_left|scapula_right,T4_b_scapula_left|T4_b_scapula_right,scapula_left|scapula_right,T4_s_scapula_left|T4_s_scapula_right,scapula_right|scapula_left,T4_f_scapula_right|T4_f_scapula_left
43486,22,2,0,630,3,0,0,0,6,7,5,28,17,15,0,11,11,16,0,11,0,4,0,0.08,0,scapula_left|scapula_right,T4_b_scapula_left|T4_b_scapula_right,scapula_left|scapula_right,T4_s_scapula_left|T4_s_scapula_right,scapula_right|scapula_left,T4_f_scapula_right|T4_f_scapula_left
43487,22,2,0,630,3,0,0,0,6,7,5,28,18,15,0,11,11,16,0,11,0,4,0,0.08,0,scapula_left|scapula_right,T4_b_scapula_left|T4_b_scapula_right,scapula_left|scapula_right,T4_s_scapula_left|T4_s_scapula_right,scapula_right|scapula_left,T4_f_scapula_right|T4_f_scapula_left
43488,22,2,0,570,3,0,0,0,6,7,5,28,15,15,0,11,0,16,16,11,0,4,0,0.08,0,scapula_left|scapula_right,T4_b_scapula_left|T4_b_scapula_right,scapula_left|scapula_right,T4_s_scapula_left|T4_s_scapula_right,scapula_right|scapula_left,T4_f_scapula_right|T4_f_scapula_left
43489,22,2,0,570,3,0,0,0,6,7,5,28,17,15,0,11,0,16,16,11,0,4,0,0.08,0,scapula_left|scapula_right,T4_b_scapula_left|T4_b_scapula_right,scapula_left|scapula_right,T4_s_scapula_left|T4_s_scapula_right,scapula_right|scapula_left,T4_f_scapula_right|T4_f_scapula_left
43490,22,2,0,570,3,0,0,0,6,7,5,28,18,15,0,11,0,16,16,11,0,4,0,0.08,0,scapula_left|scapula_right,T4_b_scapula_left|T4_b_scapula_right,scapula_left|scapula_right,T4_s_scapula_left|T4_s_scapula_right,scapula_right|scapula_left,T4_f_scapula_right|T4_f_scapula_left
43491,22,2,0,2318,9,0,0,0,24,783,10,8,25,7,24,913,0,6,0,4,0,22,0,7,0,fire|word,F2_b_fire|F2_b_word,fire|word,F2_s_fire|F2_s_word,fire|word,F2_f_fire|F2_f_word
