KEY,CN,EN
新手引导中，不能删除物品,新手引导中，不能删除物品,Unable to delete items during novice guidance
用户取消的支付,用户取消的支付,User canceled payment
由于已经拥有该商品，购买失败,由于已经拥有该商品，购买失败,Purchase failed because the item is already owned
由于未拥有该商品，消耗失败,由于未拥有该商品，消耗失败,Consumption failed because the item is not owned
网络连接丢失,网络连接丢失,Lost network connection
请求的商品不可以购买,请求的商品不可以购买,The requested item cannot be purchased
请输入正确的手机号,请输入正确的手机号,please enter a valid phone number
请输入正确的验证码,请输入正确的验证码,Please enter correct verify code
转职所需击杀点不足！,转职所需击杀点不足！,Need More Kill
已装备,已装备,Equiped
背包1,背包1,Bag1
背包2,背包2,Bag2
背包3,背包3,Bag3
背包4,背包4,Bag4
背包5,背包5,Bag5
扩充仓库,扩充仓库,Expand Stash
加载本地表,加载本地表,Local Data
加载场景中…,加载场景中…,Loading Scene
我已详细阅读并同意,我已详细阅读并同意,I have read it and agree
用户许可及服务协议,用户许可及服务协议,User license and service agreement
登陆游戏服务器,登陆游戏服务器,Loading Game Server
初始化快捷键,初始化快捷键,Init Hotkey
初始化英雄,初始化英雄,Init Hero
初始化成就,初始化成就,Init Achievement
背包消耗品列表,背包消耗品列表,Consumables In Bag
点击进入快捷栏，再次点击从快捷栏取出,点击进入快捷栏，再次点击从快捷栏取出,Click to enter the hotkey  and click to remove from the hotkey  again
点击进行快捷栏位切换,点击进行快捷栏位切换,Click to toggle hotkey
拖拽进行快捷栏物品切换,拖拽进行快捷栏物品切换,Drag and drop to switch items in hotkey
地图名称,地图名称,Map
探索,探索,Status
雪中送炭,雪中送炭,Magic Gift
[f9e0a9]每杀死[-]{0}[f9e0a9]名怪物[-],[f9e0a9]每杀死[-]{0}[f9e0a9]名怪物[-],[f9e0a9] every[-] {0} [f9e0a9]monsters killed[-]
获得{0},获得{0},Get{0}
领取,领取,Get
亡者世界,亡者世界,Dead world
等级,等级,Level
[f9e0a9]收集亡者的灵魂，提升{0}的能力[-],[f9e0a9]收集亡者的灵魂，提升{0}的能力[-],[f9e0a9]Gather the souls of the dead ascend the power of the {0}[-]
[主角][f9e0a9]每次攻击[-]，[E5110B]冰属性伤害的{0}将恢复怪物的生命[-],[主角][f9e0a9]每次攻击[-]，[E5110B]冰属性伤害的{0}将恢复怪物的生命[-],[hero][f9e0a9]With each attack[-]  [E5110B]{0} of ice damage will restore the monster's life[-]
[全体][f9e0a9]火属性攻击[-][5edb30]提高{0}[-],[全体][f9e0a9]火属性攻击[-][5edb30]提高{0}[-],[every one][f9e0a9]Fire  attack [-][5edb30] increases {0}[-]
[主角][f9e0a9]每次攻击，[-][E5110B]受到自己{0}的火属性攻击的伤害[-],[主角][f9e0a9]每次攻击，[-][E5110B]受到自己{0}的火属性攻击的伤害[-],[hero][f9e0a9] each attack[-][E5110B] gets the damage from his own {0} fire attack [-]
本地资源准备中,本地资源准备中,Reay Local Asset
请选择任意一项改变现有属性,请选择任意一项改变现有属性,Select any item to change an  property
答对所有问题才能解除封印,答对所有问题才能解除封印,Answer all the questions  to unlock the seal
恢复[ffffff]{0}[-]点血量,恢复[ffffff]{0}[-]点血量,Restore [FFFFFF]{0}[-] hp
恢复[ffffff]{0}[-]点能量,恢复[ffffff]{0}[-]点能,Restore [FFFFFF]{0}[-] energy
魔鬼,魔鬼,devil
精灵,精灵,elf
人类,人类,human
亡灵,亡灵,undead
{人物属性}提高{a}，持续{b}秒,{人物属性}提高{a}，持续{b}秒,{人物属性} increases {a} for {b} s
{人物属性}减少{a}，持续{b}秒,{人物属性}减少{a}，持续{b}秒,{人物属性} reduced by {a} for {b} s
无法行动{a}秒,无法行动{a}秒,Unable to act {a} s
防御强化,防御强化,Defense enhancement
英勇冲锋,英勇冲锋,Heroic charge
骷髅王战甲,骷髅王战甲,Battlegear
潜能爆发,潜能爆发,Potential outbreak
霸王卸甲,霸王卸甲,Overlord
弱点击破,弱点击破,Weak click
银剑,银剑,Silver sword
银光护盾,银光护盾,Silver shield
复仇,复仇,Revenge
力量窃取,力量窃取,Power stealing
污染,污染,Pollution
坚韧,坚韧,Tough
勇气,勇气,Courage
老练,老练,Experienced
贪婪,贪婪,Greedy
火焰栖息,火焰栖息,Flame perched
战斗号角,战斗号角,Battle horn
战斗号角·光,战斗号角·光,Battle horn
不屈意志,不屈意志,Unyielding will
元素掌控,元素掌控,Elemental control
暗夜使者,暗夜使者,Dark messenger
浸毒武器,浸毒武器,Immune weapon
探宝者,探宝者,Treasure hunter
元素飞舞,元素飞舞,Element flying
自然侵蚀,自然侵蚀,Natural erosion
连击,连击,Batter
无限剑制,无限剑制,Infinite sword system
灵魂灼烧,灵魂灼烧,Soul burning
疯狂撕咬,疯狂撕咬,Crazy bite
地狱之火,地狱之火,Hellfire
灼烧,灼烧,Burning
尖刺羽翼,尖刺羽翼,Spiked wing
火焰幕布,火焰幕布,Flame curtain
流血,流血,Bleed
中毒,中毒,Poisoning
 {人物属性}提高{a}，持续{b}秒,{人物属性}提高{a}，持续{b}秒,{人物属性} increases {a} for {b} s
 {人物属性}减少{a}，持续{b}秒,{人物属性}减少{a}，持续{b}秒,{人物属性} reduced by {a} for {b} s
生命最大值+{a}%+{b},生命最大值+{a}%+{b},Max HP+{a}%+{b}
光属性+{a}%+{b},光属性+{a}%+{b},Light ATK+{a}%+{b}
幸运值+{a}%+{b},幸运值+{a}%+{b},Luck +{a}%+{b}
额外金币+{a}%+{b},额外金币+{a}%+{b},Extra gold coins +{a}%+{b}
火属性攻击+{a}%+{b},火属性攻击+{a}%+{b},Fire ATK+{a}%+{b}
物攻最大值+{a}%+{b},物攻最大值+{a}%+{b},Max ATK+{a}%+{b}
光属性攻击+{a}%+{b},光属性攻击+{a}%+{b},Light ATK+{a}%+{b}
生命上限+{a}%+{b},生命上限+{a}%+{b},Max HP+{a}%+{b}
暗属性攻击+{a}%+{b},暗属性攻击+{a}%+{b},Dark ATK+{a}%+{b}
毒属性攻击+{a}%+{b},毒属性攻击+{a}%+{b},Poison ATK+{a}%+{b}
每{a}秒对目标造成 {人物属性}*{b}%的伤害，持续{c}秒。,每{a}秒对目标造成 {人物属性}*{b}%的伤害，持续{c}秒。,Inflicts {人物属性}*{b}% damage to the target every {a} s
暴击强化,暴击强化,Critical strike
哈卡之魂,哈卡之魂,The soul of Haka
虚弱,虚弱,weak
冰冻,冰冻,Frozen
残废,残废,Disabled
削弱,削弱,Weaken
破甲,破甲,Sunder Armor
黑暗侵蚀,黑暗侵蚀,Dark erosion
回答错误 进入战斗,回答错误 进入战斗,Answer incorrectly into combat
能量不足,能量不足,Need More Energy
强化失败 材料,强化失败 材料,Strengthening failure material
制作失败 材料,制作失败 材料,Production failure material
符文制作失败 粉末,符文制作失败 粉末,Rune production failed powder
道具制作失败 材料,道具制作失败 材料,Prop creation failure material
我,我,Myself
暂未通关,暂未通关,Not Completed
装备强化,装备强化,Enhance
强化,强化,Enhance
需要更多的强化材料哦！,需要更多的强化材料哦！,Need more enhance materials!
[F9E0A9FF]冰属性攻击[-],[F9E0A9FF]冰属性攻击[-],[F9E0A9FF] ice ATK [-]
签到UI,签到UI,Sign in 
首充礼包,首充礼包,First deposit reward
七日签到,七日签到,Sign in on seven days
每月签到,每月签到,monthly sign in bonus
充值,充值,Deposit
任意金额,任意金额,amount
即送,即送,You can get
还可获得价值,还可获得价值,you can get
大礼包,大礼包,a big gift bag
前去充值,前去充值,Go deposit
领取礼包,领取礼包,Receive a gift bag
已领取,已领取,Already received
第一天,第一天,first day
第二天,第二天,Second day
第三天,第三天,Third day
第四天,第四天,Fourth day
第五天,第五天,Fifth day
第六天,第六天,Sixth day
第七天,第七天,Seventh day
签到奖励,签到奖励,Sign in bonus
领取奖励,领取奖励,Receive a reward
公共UI,公共UI,Public UI
· 不同地下城所产出的材料、物品是不同的\n· 不同的地下城有其独一无二的特性\n· 妥善的利用这些特性能够让闯关变得更加容易\n· 如果利用不好这些特性，闯关会变得很艰难,· 不同地下城所产出的材料、物品是不同的\n· 不同的地下城有其独一无二的特性\n· 妥善的利用这些特性能够让闯关变得更加容易\n· 如果利用不好这些特性，闯关会变得很艰难,Different dungeons produce different materials and objects. They are all unique. Using these features properly can make all things easier. If not  it will make the process of mission accomplished very difficult.
· 完成当前阶段成就后，开启下一阶段的成就\n· 成就点数是象征一位冒险者资历的最好整明哦,· 完成当前阶段成就后，开启下一阶段的成就\n· 成就点数是象征一位冒险者资历的最好整明哦,After completing the current stage of achievement  you can starting the next one. Achievement points are the best way to prove an adventurer's qualification.
帮助,帮助,help
工坊UI,工坊UI,Workshop UI
工坊,工坊,Workshop
装备制作,装备制作,Equipment production
符文制作,符文制作,Rune making
道具制作,道具制作,Prop making
制作,制作,fabrication
工坊\n\n· 每件装备可以强化10次\n· 每次装备强化根据不同强化结果，分别增加\n  极大、大量、中量、少量的数值\n· 符文制作消耗魔晶，分解符文可获得魔晶\n· 使用特定消耗品让地下城冒险更容易,工坊\n\n· 每件装备可以强化10次\n· 每次装备强化根据不同强化结果，分别增加\n  极大、大量、中量、少量的数值\n· 符文制作消耗魔晶，分解符文可获得魔晶\n· 使用特定消耗品让地下城冒险更容易,Workshop\n\n· Each piece of equipment can be strengthened 10 times\n· Each enhancement increases  \n  max  large  medium  and small numbers\n· runes to create consumptive magic crystals  and resolve the runes to get the magic crystal  \n·  using specific consumables to make the adventure easier.
全部,全部,whole
物理攻击,物理攻击,ATK
属性攻击,属性攻击,ATK
防具,防具,Armor
暴击,暴击,critical attack
冒险,冒险,adventure
武器,武器,weapon
饰品,饰品,ornament
防御,防御,DEF
[00FF06](可带出关卡)[-],[00FF06](可带出关卡)[-],[00FF06] (can be taken out of the gate).
消耗品,消耗品,Consumables
工具,工具,tools
[FF0000](不可带出关卡)[-],[FF0000](不可带出关卡)[-],[FF0000] (not allowed to take out the level)]
选择关卡UI,选择关卡UI,Select gateway UI
古城废墟,古城废墟, ruins of the ancient city
战场遗址,战场遗址,battlefield
熔岩地穴,熔岩地穴,lava crypt
海底圣所,海底圣所,subsea sanctuary
选择副本,选择副本,choose the instance zones 
地下城特性:,地下城特性:,Dungeons
可能获得的奖励,可能获得的奖励,The reward you may get:
前往地下城,前往地下城,Heading to Dungrons
莱纳河的下游比较安全，只会出现一些低阶魔物，但是仍然时常可以发现从上游漂流过来的一些宝物，应该可以找到一些进阶材料，过去看一看吧。。。,莱纳河的下游比较安全，只会出现一些低阶魔物，但是仍然时常可以发现从上游漂流过来的一些宝物，应该可以找到一些进阶材料，过去看一看吧。。。,The lower reaches of the Lena River are safer  with only a few lower-level demons  but there are drifting treasures that can be found from upstream. Some advanced materials should be found right there. Go there and have a look.
古城废墟已的魔物已经被清除的差不多了，应该不会很危险，但是这里还有很多没有探索到的地区，应该还可以发现一些强化用的材料。。。。,古城废墟已的魔物已经被清除的差不多了，应该不会很危险，但是这里还有很多没有探索到的地区，应该还可以发现一些强化用的材料。。。。,The demons from the ruins of ancient city have been almost cleared  it should not be very dangerous  but there are still many unexplored areas  some reinforcement materials should also be found in there...
凯旋桥是层级人类的最后一道防线，这里曾经爆发了人类和魔物的最后一次的战争，现在仍然可以看到当时战争的惨烈场景，去发现一些强化材料吧。。。,凯旋桥是层级人类的最后一道防线，这里曾经爆发了人类和魔物的最后一次的战争，现在仍然可以看到当时战争的惨烈场景，去发现一些强化材料吧。。。,The Triomphe Bridge is the last line for humans to DEF  where the last war between humans and Demons broke out  and now you can still see the tragic scene of the war. Go find some reinforcements from there.
曾经的战场，最大规模的战争在此爆发，无数的英雄在此陨落，现在仍不时有淘金者来此寻宝想要发一笔横财，现在还能搜集到一些制作材料。。。。,曾经的战场，最大规模的战争在此爆发，无数的英雄在此陨落，现在仍不时有淘金者来此寻宝想要发一笔横财，现在还能搜集到一些制作材料。。。。,Once in a battlefield  the biggest war was begun here  countless heroes lost here. Nowadays  there are gold diggers come here to seek windfall  and collect some production materials.
莱纳河的上游是原来魔物的聚集地，现在已经荒废了，见不到魔物的身影，能够搜集到当年魔物锻造武器的材料。。。,莱纳河的上游是原来魔物的聚集地，现在已经荒废了，见不到魔物的身影，能够搜集到当年魔物锻造武器的材料。。。,The upreaches of the Lena River  where demons once gathered  are now desolate  unable to see them  and able to collect materials for forging weapons.
熔岩地穴十分炽热，但是这里仍然有很多可以探索的地方,熔岩地穴十分炽热，但是这里仍然有很多可以探索的地方,Lava cave is very hot  but there are still many places can be explored.
那罗亚火山喷发出来的岩浆在山下聚集成为一个炽热的湖泊，可以发现。。。,那罗亚火山喷发出来的岩浆在山下聚集成为一个炽热的湖泊，可以发现。。。,Magma from the eruption of Naroya volcano forms a blazing lake beneath the mountain
炽热的火山口，随时可能会喷发，这里是,炽热的火山口，随时可能会喷发，这里是,Hot craters may erupt at any time.
海底圣所中,海底圣所中,In the Submarine sanctuary
终于从海底圣所中出来了，后面是一条被玫瑰花铺满的长路看不到尽头，一条充满荆棘的道路中可以搜集。。。。。,终于从海底圣所中出来了，后面是一条被玫瑰花铺满的长路看不到尽头，一条充满荆棘的道路中可以搜集。。。。。,Finally  you are walking out from the sanctuary  there was an endless rose-covered road and a thorny road can be gathered....
天涯海角，世界的尽头，能够到达这里的勇者,天涯海角，世界的尽头，能够到达这里的勇者,Ends of the earth  the end of the world  the valiant who can reach here.
莱纳河下游,莱纳河下游,downstream of Leine
凯旋桥,凯旋桥,Triomphe Bridge
战争遗迹,战争遗迹,war relics
莱纳河上游,莱纳河上游,upstream of Lena
熔岩湖,熔岩湖,lava lake
那罗亚火山,那罗亚火山,nroa volcano
荆棘路,荆棘路,thorny road
世界尽头,世界尽头,The End of World
副本名称,副本名称,instance zones name
[F9E0A9FF]每击杀10只怪物，便可以领取1个[-] [00FF00]微弱生命恢复药剂[-],[F9E0A9FF]每击杀10只怪物，便可以领取1个[-] [00FF00]微弱生命恢复药剂[-],Every [F9E0A9FF] kill 10 monsters  you can receive 1 [-] [00FF00] weak life recovery potion.
[F9E0A9FF]收集亡者得灵魂，来提升[-] [00FF00]骨戒[-] [F9E0A9FF]的能力[-],[F9E0A9FF]收集亡者得灵魂，来提升[-] [00FF00]骨戒[-] [F9E0A9FF]的能力[-],[F9E0A9FF] collect the soul of the dead to enhance the ability of Bone Ring [[00FF00]] [F9E0A9FF].
[F9E0A9FF][全体]所有火属性攻击提高[-][00FF00]50%[-]\n[F9E0A9FF][主角]每次攻击[-]，[FF0000]受到自己50%火属性攻击的伤害[-],[F9E0A9FF][全体]所有火属性攻击提高[-][00FF00]50%[-]\n[F9E0A9FF][主角]每次攻击[-]，[FF0000]受到自己50%火属性攻击的伤害[-],[F9E0A9FF] [All] Fire Attacks Increased [-] [00FF00] 50%[-] n [F9E0A9FF] [Protagonist]Each attack [-]  [FF0000] takes 50% of its own fire damage [-]
[F9E0A9FF][主角][-][FF0000]每次攻击，冰属性伤害的50%将给怪物恢复生命值[-],[F9E0A9FF][主角][-][FF0000]每次攻击，冰属性伤害的50%将给怪物恢复生命值[-],[F9E0A9FF][protagonist][-][FF0000] each attack  50% of the ice attribute damage will restore the life value of the monster.
简介：这里曾是人类七王国中人口最多的港口，经历了4次兽人战争后，胜利者并没有留下来，先在这里被亡灵和失散的逃兵占领着。,简介：这里曾是人类七王国中人口最多的港口，经历了4次兽人战争后，胜利者并没有留下来，先在这里被亡灵和失散的逃兵占领着。,Intro: This was once the most populous port in the seven kingdoms of mankind. After four Orc wars  the victors did not stay. And now  this place are occupied by the undead and separated deserters.
简介：作为曾经人类与兽人战争的主战场，这么多年过去了，当年战斗的痕迹依旧清晰可见，传闻阵亡者的灵魂一直在这里游荡，从未离开,简介：作为曾经人类与兽人战争的主战场，这么多年过去了，当年战斗的痕迹依旧清晰可见，传闻阵亡者的灵魂一直在这里游荡，从未离开,Intro: As the main battlefield of the war between man and the orcs  so many years have passed  the traces of the battle are still clear. They say  the soul of the dead have always been wandering here.
简介：这里常年流动着滚滚的岩浆，里面总是传来嚎叫的声音，经常有胆大冒险者进去一探究竟，可是他们却再也没能出来,简介：这里常年流动着滚滚的岩浆，里面总是传来嚎叫的声音，经常有胆大冒险者进去一探究竟，可是他们却再也没能出来,Intro: The rolling magma flows perennially  and there is always a howl from it. There are lots of bold adventurers who going in and exploring one after  but they were never came out again.
简介：这里本是一个富饶的城市，后因诅咒被沉入海底，城市里原本的居民也都变成了各种各样的怪物。,简介：这里本是一个富饶的城市，后因诅咒被沉入海底，城市里原本的居民也都变成了各种各样的怪物。,Intro: This is a rich city  however  it was sunk to the bottom of the sea after the curse  the city's original residents turn into variety of monsters.
武器属性简介UI,武器属性简介UI,Introduction to weapon attributes UI
[F9E0A9FF]最大攻击力[-],[F9E0A9FF]最大攻击力[-],[F9E0A9FF] Max ATK [-]
[F9E0A9FF]最小攻击力[-],[F9E0A9FF]最小攻击力[-],[F9E0A9FF] Min ATK [-]
[F9E0A9FF]血量[-],[F9E0A9FF]血量[-],[F9E0A9FF] HP [-]
[F9E0A9FF]魔力[-],[F9E0A9FF]魔力[-],[F9E0A9FF] MP [-]
[F9E0A9FF]物防最大值[-],[F9E0A9FF]物防最大值[-],Max [F9E0A9FF] DEF [-]
[F9E0A9FF]物防最小值[-],[F9E0A9FF]物防最小值[-],Min [F9E0A9FF] DEF [-]
[F9E0A9FF]暴击率[-],[F9E0A9FF]暴击率[-],[F9E0A9FF] CRT [-]
[F9E0A9FF]暴击伤害[-],[F9E0A9FF]暴击伤害[-],[F9E0A9FF] CRT DMG [-]
[F9E0A9FF]火属性攻击[-],[F9E0A9FF]火属性攻击[-],[F9E0A9FF] fire ATK [-]
[F9E0A9FF]毒属性攻击[-],[F9E0A9FF]毒属性攻击[-],[F9E0A9FF] toxic ATK [-]
[F9E0A9FF]光属性攻击[-],[F9E0A9FF]光属性攻击[-],[F9E0A9FF] light ATK [-]
[F9E0A9FF]暗属性攻击[-],[F9E0A9FF]暗属性攻击[-],[F9E0A9FF] dark ATK [-]
[F9E0A9FF]火属性防御[-],[F9E0A9FF]火属性防御[-],[F9E0A9FF] fire DEF [[]]
[F9E0A9FF]冰属性防御[-],[F9E0A9FF]冰属性防御[-],[F9E0A9FF] ice DEF [-]
[F9E0A9FF]毒属性防御[-],[F9E0A9FF]毒属性防御[-],[F9E0A9FF] toxic DEF [-]
[F9E0A9FF]光属性防御[-],[F9E0A9FF]光属性防御[-],[F9E0A9FF] light DEF [[]]
[F9E0A9FF]暗属性防御[-],[F9E0A9FF]暗属性防御[-],[F9E0A9FF] dark DEF []
[F9E0A9FF]幸运值[-],[F9E0A9FF]幸运值[-],[F9E0A9FF] LUK [-]
[F9E0A9FF]额外金币[-],[F9E0A9FF]额外金币[-],[F9E0A9FF] extra gold coins [-]
[F9E0A9FF]技能[-],[F9E0A9FF]技能[-],[F9E0A9FF] skills [-]
[F9E0A9FF]击杀值[-],[F9E0A9FF]击杀值[-],[F9E0A9FF] KDA [-]
[F9E0A9FF]防御[-],[F9E0A9FF]防御[-],[F9E0A9FF] DEF [-]
[F9E0A9FF]攻击速度[-],[F9E0A9FF]攻击速度[-],[F9E0A9FF] SPD [-]
[F9E0A9FF]血量上限[-],[F9E0A9FF]血量上限[-],[F9E0A9FF] HP limit [-]
[F9E0A9FF]能量上限[-],[F9E0A9FF]能量上限[-],[F9E0A9FF] STR limit [-]
[F9E0A9FF]攻击[-],[F9E0A9FF]攻击[-],[F9E0A9FF] ATK [-]
GoodsItem名字UI,GoodsItem名字UI,GoodsItem name UI
粉末,粉末,powder
初阶人族灵魂,初阶人族灵魂,primary soul of the human race
中阶人族灵魂,中阶人族灵魂,Middle ranking Terran soul
高阶人族灵魂,高阶人族灵魂,Higher-order Terran soul
超阶人族灵魂,超阶人族灵魂,Super Terran soul
初阶精灵灵魂,初阶精灵灵魂,primary elf soul
中阶精灵灵魂,中阶精灵灵魂,Middle elf soul
高阶精灵灵魂,高阶精灵灵魂,Higher-order elf soul
超阶精灵灵魂,超阶精灵灵魂,Super elf soul
初阶亡灵灵魂,初阶亡灵灵魂,primary soul of the dead
中阶亡灵灵魂,中阶亡灵灵魂,Middle soul of the  dead
高阶亡灵灵魂,高阶亡灵灵魂,High order soul of the dead
超阶亡灵灵魂,超阶亡灵灵魂,Super order soul of the dead
知言泉水,知言泉水,Known spring water
优秀英雄灵魂,优秀英雄灵魂,Outstanding hero soul
青铜龙之血,青铜龙之血,Blood of Bronze Dragon
易行泉水,易行泉水,Spring water
精锐英雄灵魂,精锐英雄灵魂,Elite Heroes soul
白银龙之血,白银龙之血,Boold from Silver Dragon
气灵泉水,气灵泉水,Qi Ling spring water
史诗英雄灵魂,史诗英雄灵魂,Epic hero soul
黄金龙之血,黄金龙之血,Blood of Golden Dragon
知一泉水,知一泉水,Zhi Yi spring water
传奇英雄灵魂,传奇英雄灵魂,Legendary hero soul
水晶龙之血,水晶龙之血,Blood from Crystal dragon
普通黑晶,普通黑晶,Common black crystal
家禽头骨,家禽头骨,Poultry Skull
稀有黑晶,稀有黑晶,Rare black crystal
野兽头骨,野兽头骨,Beasts Skull
罕见黑晶,罕见黑晶,Rare black crystal
狂兽头骨,狂兽头骨,Wild animal skull
家禽之血,家禽之血,The blood of poultry
家禽逆鳞,家禽逆鳞,Reverse scale of poultry
野兽之血,野兽之血,The blood of the beast
野兽逆鳞,野兽逆鳞,Reverse scale of Wild animal
狂暴兽血,狂暴兽血,Rage animal blood
狂兽逆鳞,狂兽逆鳞,reverse scale of rage animal
家禽之齿,家禽之齿,The teeth of poultry
初级漩涡宝珠,初级漩涡宝珠,Primary vortex beads
野兽之齿,野兽之齿,The tooth of the beast
中级漩涡宝珠,中级漩涡宝珠,Intermediate vortex beads
狂兽之齿,狂兽之齿,The tooth of a rage beast
高级漩涡宝珠,高级漩涡宝珠,Advanced vortex beads
普通铁矿石,普通铁矿石,Ordinary iron ore
铁沙,铁沙,Iron sand
精炼铁矿石,精炼铁矿石,Refined iron ore
银沙,银沙,Silvery sand
淬炼铁矿石,淬炼铁矿石,Quenching iron ore
金沙,金沙,Golden Sand
粗糙的皮革,粗糙的皮革,Rough leather
铁锭,铁锭,Iron ingots
柔韧的皮革,柔韧的皮革,Tender leather
银锭,银锭,silver ingot
坚韧的皮革,坚韧的皮革,tough leather
金锭,金锭,Golden ingots
铜质汤勺,铜质汤勺,Copper spoon
玻璃结晶,玻璃结晶,Glass crystallization
银质汤勺,银质汤勺,Silver spoon
石英结晶,石英结晶,Quartz crystallization
金质汤勺,金质汤勺,Golden spoon
水晶结晶,水晶结晶,Crystal crystallizing
魔法羊皮,魔法羊皮,Magic sheepskin
橡树硬皮,橡树硬皮,Hard Oak skin
鲜红树果,鲜红树果,Fresh red berry
能量源石,能量源石,Energy source stone
六棱冰晶,六棱冰晶,Six ribbed crystal ice
微热的蘑菇,微热的蘑菇,Hot mushrooms
空气结晶,空气结晶,Air crystallization
烈焰草,烈焰草,Flaming grass
剧毒粘液,剧毒粘液,Highly toxic mucus
驱魔粉末,驱魔粉末,Exorcism powder
毒蝎断尾,毒蝎断尾,Scorpion tail
白骨薄片,白骨薄片,Bone slices
哥布林的金闪闪,哥布林的金闪闪,Golden flash of goblin
史莱姆的皮筋,史莱姆的皮筋,Slime's rubber band
食人花的嫩叶,食人花的嫩叶,Young leaves of cannibal plants
古树嫩枝,古树嫩枝,Twigs of ancient trees
餐风饮露,餐风饮露,homeless
金币,金币,Gold coins
钻石,钻石,diamond
1级杀戮符文,1级杀戮符文,Level 1 killing rune
1级英勇符文,1级英勇符文,Level 1 heroic runes
1级盾墙符文,1级盾墙符文,Level 1 shield wall runes
1级铁壁符文,1级铁壁符文,Level 1 iron wall rune
1级强壮符文,1级强壮符文,Level 1 strong rune
1级精力符文,1级精力符文,Level 1 energy rune
1级贪婪符文,1级贪婪符文,Level 1 greedy rune
1级幸运符文,1级幸运符文,Level 1 lucky rune
1级寒冷符文,1级寒冷符文,Level 1 cold rune
1级炙热符文,1级炙热符文,Level 1 hot rune
1级剧毒符文,1级剧毒符文,Level 1 toxicous rune
1级光明符文,1级光明符文,Level 1 Bright Rune
1级黑暗符文,1级黑暗符文,Level 1 Dark Rune
2级杀戮符文,2级杀戮符文,Level 2 killing rune
2级英勇符文,2级英勇符文,Level 2 heroic runes
2级盾墙符文,2级盾墙符文,Level 2 shield wall runes
2级铁壁符文,2级铁壁符文,Level 2 Iron Wall Rune
2级强壮符文,2级强壮符文,Level 2 strong rune
2级精力符文,2级精力符文,Level 2 energy rune
2级贪婪符文,2级贪婪符文,Level 2 greedy rune
2级幸运符文,2级幸运符文,Level 2 lucky rune
2级寒冷符文,2级寒冷符文,Level 2 cold rune
2级炙热符文,2级炙热符文,Level 2 hot rune
2级剧毒符文,2级剧毒符文,Level 2 toxicous rune
2级光明符文,2级光明符文,Level 2 Bright Rune
2级黑暗符文,2级黑暗符文,Level 2 Dark Rune
3级杀戮符文,3级杀戮符文,Level 3 killing runes
3级英勇符文,3级英勇符文,Level 3 heroic runes
3级盾墙符文,3级盾墙符文,Level 3 shield wall runes
3级铁壁符文,3级铁壁符文,Level 3 Iron Wall Rune
3级强壮符文,3级强壮符文,Level 3 strong rune
3级精力符文,3级精力符文,Level 3 energy rune
3级贪婪符文,3级贪婪符文,Level 3 greedy rune
3级幸运符文,3级幸运符文,Level 3 lucky rune
3级寒冷符文,3级寒冷符文,Level 3 cold rune
3级炙热符文,3级炙热符文,Level 3 hot rune
3级剧毒符文,3级剧毒符文,Level 3 toxicous Rune
3级光明符文,3级光明符文,Level 3 Bright Rune
3级黑暗符文,3级黑暗符文,Level 3 Dark Rune
4级杀戮符文,4级杀戮符文,Level 4 killing runes
4级英勇符文,4级英勇符文,Level 4 heroic runes
4级盾墙符文,4级盾墙符文,Level 4 shield wall runes
4级铁壁符文,4级铁壁符文,Level 4 Iron Wall Rune
4级强壮符文,4级强壮符文,Level 4 strong rune
4级精力符文,4级精力符文,Level 4 energy rune
4级贪婪符文,4级贪婪符文,Level 4 Greed Rune
4级幸运符文,4级幸运符文,Level 4 lucky rune
4级寒冷符文,4级寒冷符文,Level 4 cold rune
4级炙热符文,4级炙热符文,Level 4 hot rune
4级剧毒符文,4级剧毒符文,Level 4 toxicous runes
4级光明符文,4级光明符文,Level 4 Bright Rune
4级黑暗符文,4级黑暗符文,Level 4 Dark Rune
5级杀戮符文,5级杀戮符文,Level 5 killing runes
5级英勇符文,5级英勇符文,Level 5 heroic runes
5级盾墙符文,5级盾墙符文,Level 5 shield wall runes
5级铁壁符文,5级铁壁符文,Level 5 Iron Wall Rune
5级强壮符文,5级强壮符文,Level 5 strong rune
5级精力符文,5级精力符文,Level 5 energy rune
5级贪婪符文,5级贪婪符文,Level 5 greedy rune
5级幸运符文,5级幸运符文,Level 5 lucky rune
5级寒冷符文,5级寒冷符文,Level 5 cold rune
5级炙热符文,5级炙热符文,Level 5 hot rune
5级剧毒符文,5级剧毒符文,Level 5 toxicous rune
5级光明符文,5级光明符文,Level 5 Bright Rune
5级黑暗符文,5级黑暗符文,Level 5 Dark Rune
回城卷轴,回城卷轴,Scroll to Town Portal
全知宝石,全知宝石,Omniscient jewel
微弱生命药剂,微弱生命药剂,Weak life potion
小型生命药剂,小型生命药剂,Small life potion
中型生命药剂,中型生命药剂,Medium life potion
大型生命药剂,大型生命药剂,Large life potion
巨型生命药剂,巨型生命药剂,Giant life potion
祝福生命药剂,祝福生命药剂,Blessing potion
大师生命药剂,大师生命药剂,Master elixir of life
炼金师生命药剂,炼金师生命药剂,Alchemist's life potion
帝国生命药剂,帝国生命药剂,Empire life potion
神圣生命药剂,神圣生命药剂,Divine life potion
十夫长援助胶剂,十夫长援助胶剂,Ten Centurion life potion
百夫长生命药剂,百夫长生命药剂,Centurion life potion
千夫长生命药剂,千夫长生命药剂,Chiliarchy medicine
